server_generation,action_string,score,slots_size,score_per_slot
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.9-60",440203.56572718115,4,110050.89143179529
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.9-72",439754.42363731656,4,109938.60590932914
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.7-96",439746.85943644895,4,109936.71485911224
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.9-60",438645.9134804409,4,109661.47837011023
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.8-84",436985.0980337758,4,109246.27450844395
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.85-72",435152.4223241323,4,108788.10558103307
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.8-84",433759.4980337758,4,108439.87450844394
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-36",430862.159146368,4,107715.539786592
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.8-96",430050.859436449,4,107512.71485911225
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-48",429964.7520699323,4,107491.18801748307
CPU.S3,"CPU.S3|buy-dismiss|DC3,1.0-96",214892.55672016158,2,107446.27836008079
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.75-96",429508.01204714645,4,107377.00301178661
CPU.S4,"CPU.S4|buy-dismiss|DC3,1.0-60",214442.32871679968,2,107221.16435839984
GPU.S1,"GPU.S1|buy-dismiss|DC4,1.0-48",428700.66359111667,4,107175.16589777917
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.65-96",428304.36947670265,4,107076.09236917566
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.9-60",427243.5657271811,4,106810.89143179527
GPU.S2,"GPU.S2|buy-dismiss|DC2,1.0-48",426950.7741896362,4,106737.69354740906
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.65-96",425808.36947670265,4,106452.09236917566
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.8-96",423581.8795169563,4,105895.46987923907
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.95-60",422479.3193786911,4,105619.82984467277
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.9-60",422445.9134804409,4,105611.47837011023
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.75-96",421892.68072167085,4,105473.17018041771
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.75-96",421892.68072167085,4,105473.17018041771
